Stream Start,Stream End,Duration,Has Error,In Process,Asset Name,Service Type,VOD Pump,QAM,Service Group,MAC Address,Account #,Error Code,Event Category,Stream Type,Bitrate,Trick Plays
"05-May-2018 12:01:10 AM","05-May-2018 12:56:49 AM","0h 55m 39s","true","false","That's My Boy","FOD","EauClaire1",,"euclwi-22057","00:00:03:9A:87:7E","8245114850023844","1062","Not Assigned","V","3120000","7"
"05-May-2018 12:02:36 AM","05-May-2018 01:00:00 AM","0h 57m 24s","true","false","That's My Boy","FOD","EauClaire1",,"rclkwi-39005","00:00:07:50:83:B3","8245114850022895","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:00:09 AM","05-May-2018 01:07:54 AM","0h 7m 45s","true","false","That's My Boy","FOD","EauClaire1",,"euclwi-22057","00:00:03:9A:87:7E","8245114850023844","1062","Not Assigned","V","3120000","8"
"05-May-2018 01:08:42 AM","05-May-2018 01:15:02 AM","0h 6m 20s","true","false","That's My Boy","FOD","EauClaire1",,"euclwi-22057","00:00:03:9A:87:7E","8245114850023844","1062","Not Assigned","V","3120000","15"
"05-May-2018 12:48:36 AM","05-May-2018 01:17:35 AM","0h 28m 59s","true","false","The Chronicles of Narnia: Prince Caspian","STZOD","EauClaire1",,"euclwi-22087","00:00:06:DE:9D:9D","8245114460009860","1062","Not Assigned","V","3120000","1"
"05-May-2018 12:57:54 AM","05-May-2018 01:18:46 AM","0h 20m 52s","true","false","Patriots Day HD","SOD","EauClaire1",,"asdlwi-12010","00:00:07:67:7D:D3","8245114990134261","1062","Not Assigned","V","12500000","1"
"05-May-2018 01:03:29 AM","05-May-2018 01:25:26 AM","0h 21m 57s","true","false","Patriots Day HD","SOD","EauClaire1",,"onlawi-36046","00:00:06:98:37:69","8245114190068525","1062","Not Assigned","V","12500000","3"
"05-May-2018 02:21:01 AM","05-May-2018 02:42:25 AM","0h 21m 24s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22004","00:00:03:A2:3A:1A","8245114581064992","1062","Not Assigned","V","12500000","2"
"05-May-2018 02:42:40 AM","05-May-2018 02:44:48 AM","0h 2m 8s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22004","00:00:03:A2:3A:1A","8245114581064992","1062","Not Assigned","V","12500000","13"
"05-May-2018 02:44:58 AM","05-May-2018 03:33:23 AM","0h 48m 25s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22004","00:00:03:A2:3A:1A","8245114581064992","1062","Not Assigned","V","12500000","30"
